馬名,系統,category,距離,成長,ダート,体質,気性,実績,底力,安定,非凡,天性,父,父父,父父父,父父父父,父父母父,父母父,父母父父,父母母父,母父,母父父,母父父父,母父母父,母母父,母母父父,母母母父,pa:父,pa:父父,pa:父父父,pa:父父父父,pa:父父母父,pa:父母父,pa:父母父父,pa:父母母父,pa:母父,pa:母父父,pa:母父父父,pa:母父母父,pa:母母父,pa:母母父父,pa:母母母父,chi:父,chi:父父,chi:父父父,chi:父父父父,chi:父父母父,chi:父母父,chi:父母父父,chi:父母母父,chi:母父,chi:母父父,chi:母父父父,chi:母父母父,chi:母母父,chi:母母父父,chi:母母母父
スマートロビン,ヘイルトゥリーズン系,5,2000m〜3400m,普通,〇,B,C,B,B,C,,,ディープインパクト,サンデーサイレンス,ヘイロー,ヘイルトゥリーズン,アンダースタンディング,アルザオ,リファール,バステッド,リファール,ノーザンダンサー,ニアークティック,コートマーシャル,ニジンスキー,ノーザンダンサー,キートゥザミント,Royal Charger,Royal Charger,Royal Charger,Royal Charger,Teddy,Nearctic,Nearctic,Swynford,Nearctic,Nearctic,Nearctic,Fairway,Nearctic,Nearctic,St.Simon,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,テディ系,ノーザンダンサー系,ノーザンダンサー系,ブレニム系,ノーザンダンサー系,ノーザンダンサー系,ニアークティック系,フェアトライアル系,ノーザンダンサー系,ノーザンダンサー系,リボー系
セキテイリュウオー,プリンスリーギフト系,5,1600m〜2000m,晩成,△,C,B,C,C,C,,,トウショウボーイ,テスコボーイ,プリンスリーギフト,ナスルーラ,ハイペリオン,Your Host,アリバイ,Easton,ファーストファミリー,First Landing,Turn-to,プリンスキロ,Prince Taj,Prince Bio,Turkhan,Nasrullah,Nasrullah,Nasrullah,Nasrullah,Hampton,Hampton,Hampton,Hampton,Royal Charger,Royal Charger,Royal Charger,St.Simon,St.Simon,St.Simon,Swynford,プリンスリーギフト系,プリンスリーギフト系,プリンスリーギフト系,ナスルーラ系,ハイペリオン系,ハイペリオン系,ハイペリオン系,ハンプトン系,ロイヤルチャージャー系,ロイヤルチャージャー系,ロイヤルチャージャー系,プリンスキロ系,プリンスビオ系,プリンスビオ系,ブランドフォード系
ゼンノエルシド,ノーザンダンサー系,5,1600m〜2000m,早熟,〇,B,B,B,C,B,,,カーリアン,ニジンスキー,ノーザンダンサー,ニアークティック,ブルページ,ラウンドテーブル,プリンスキロ,ヘイルトゥリーズン,Dominion,デリングドゥ,Darius,プリンスリーギフト,Kashmir,テューダーメロディ,バリモス,Nearctic,Nearctic,Nearctic,Nearctic,Teddy,St.Simon,St.Simon,Royal Charger,Phalaris,Phalaris,Phalaris,Nasrullah,Hampton,Hampton,Phalaris,ノーザンダンサー系,ノーザンダンサー系,ノーザンダンサー系,ニアークティック系,テディ系,プリンスキロ系,プリンスキロ系,ヘイルトゥリーズン系,ダンテ系,ダンテ系,ダンテ系,プリンスリーギフト系,オーエンテューダー系,オーエンテューダー系,モスボロー系
ソングオブウインド,レイズアネイティヴ系,5,1600m〜2000m,晩成,△,B,B,C,C,B,,,エルコンドルパサー,キングマンボ,ミスタープロスペクター,Raise a Native,ヌレイエフ,サドラーズウェルズ,ノーザンダンサー,シアトルスルー,サンデーサイレンス,ヘイロー,ヘイルトゥリーズン,アンダースタンディング,トニービン,カンパラ,ヒッティングアウェー,Native Dancer,Native Dancer,Native Dancer,Native Dancer,Nearctic,Nearctic,Nearctic,Nasrullah,Royal Charger,Royal Charger,Royal Charger,Teddy,Nasrullah,Nasrullah,Herod,レイズアネイティヴ系,レイズアネイティヴ系,レイズアネイティヴ系,レイズアネイティヴ系,ノーザンダンサー系,ノーザンダンサー系,ノーザンダンサー系,ボールドルーラー系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,テディ系,ゼダーン系,ゼダーン系,トウルビヨン系
タイムパラドックス,ヘイルトゥリーズン系,5,1200m〜2200m,普通,◎,B,B,C,B,B,,,ブライアンズタイム,ロベルト,ヘイルトゥリーズン,Turn-to,ナシュア,グロースターク,Ribot,Hasty Road,アルザオ,リファール,ノーザンダンサー,サーアイヴァー,ボールドラッド,ボールドルーラー,High Treason,Royal Charger,Royal Charger,Royal Charger,Royal Charger,Nasrullah,St.Simon,St.Simon,Teddy,Nearctic,Nearctic,Nearctic,Royal Charger,Nasrullah,Nasrullah,Fairway,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ロイヤルチャージャー系,ナスルーラ系,リボー系,リボー系,テディ系,ノーザンダンサー系,ノーザンダンサー系,ノーザンダンサー系,サーゲイロード系,ボールドルーラー系,ボールドルーラー系,フェアトライアル系
タダノツヨシ,ヘイルトゥリーズン系,collabo_1017,1600m〜2000m,普通,〇,B,B,B,A,B,,,サンデーサイレンス,ヘイロー,ヘイルトゥリーズン,Turn-to,Cosmic Bomb,アンダースタンディング,Promised Land,Montparnasse,カロ,フォルティノ,Grey Sovereign,Chamossaire,バックパサー,Tom Fool,Better Self,Royal Charger,Royal Charger,Royal Charger,Royal Charger,Phalaris,Teddy,Teddy,Hampton,Nasrullah,Nasrullah,Nasrullah,Matchem,Tom Fool,Tom Fool,Himyar,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ロイヤルチャージャー系,ファラリス系,テディ系,テディ系,ハイペリオン系,フォルティノ系,フォルティノ系,グレイソヴリン系,マッチェム系,トムフール系,トムフール系,ヒムヤー系
ダイコウサク,ニアークティック系,1006,2000m〜2500m,普通,〇,B,B,C,C,C,,,ノノアルコ,ニアークティック,ネアルコ,Pharos,ハイペリオン,Hasty Road,Roman,Crafty Admiral,ダイコーター,ヒンドスタン,Bois Roussel,Lillolkid,ネヴァービート,ネヴァーセイダイ,クリノハナ,Nearctic,Nearctic,Phalaris,Phalaris,Hampton,Teddy,Teddy,Teddy,St.Simon,St.Simon,St.Simon,Eclipse,Nasrullah,Nasrullah,Swynford,ニアークティック系,ニアークティック系,ネアルコ系,ファロス系,ハイペリオン系,テディ系,テディ系,テディ系,ボワルセル系,ボワルセル系,ボワルセル系,エクリプス系,ネヴァーセイダイ系,ネヴァーセイダイ系,ブランドフォード系
ダイシンオレンジ,レイズアネイティヴ系,5,1800m〜2000m,普通,◎,A,A,C,C,C,,,アグネスデジタル,Crafty Prospector,ミスタープロスペクター,Raise a Native,インリアリティ,チーフズクラウン,ダンチヒ,アレッジド,ラシアンルーブル,ニジンスキー,ノーザンダンサー,バックパサー,シャトーゲイ,Swaps,ムーティエ,Native Dancer,Native Dancer,Native Dancer,Native Dancer,Matchem,Nearctic,Nearctic,St.Simon,Nearctic,Nearctic,Nearctic,Tom Fool,Hampton,Hampton,St.Simon,レイズアネイティヴ系,レイズアネイティヴ系,レイズアネイティヴ系,レイズアネイティヴ系,インテント系,ノーザンダンサー系,ノーザンダンサー系,リボー系,ノーザンダンサー系,ノーザンダンサー系,ノーザンダンサー系,トムフール系,カーレッド系,カーレッド系,プリンスビオ系
ダノンシャーク,ヘイルトゥリーズン系,5,1600m〜2000m,晩成,〇,B,B,B,B,C,,,ディープインパクト,サンデーサイレンス,ヘイロー,ヘイルトゥリーズン,アンダースタンディング,アルザオ,リファール,バステッド,カーリアン,ニジンスキー,ノーザンダンサー,ラウンドテーブル,シャーリーハイツ,ミルリーフ,Tennyson,Royal Charger,Royal Charger,Royal Charger,Royal Charger,Teddy,Nearctic,Nearctic,Swynford,Nearctic,Nearctic,Nearctic,St.Simon,Nasrullah,Nasrullah,Swynford,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,テディ系,ノーザンダンサー系,ノーザンダンサー系,ブレニム系,ノーザンダンサー系,ノーザンダンサー系,ノーザンダンサー系,プリンスキロ系,ネヴァーベンド系,ネヴァーベンド系,ブラントーム系
ダノンバラード,ヘイルトゥリーズン系,5,1800m〜2200m,普通,〇,B,B,C,B,B,,,ディープインパクト,サンデーサイレンス,ヘイロー,ヘイルトゥリーズン,アンダースタンディング,アルザオ,リファール,バステッド,Unbridled,ファピアノ,ミスタープロスペクター,Le Fabuleux,ヘイロー,ヘイルトゥリーズン,エルバジェ,Royal Charger,Royal Charger,Royal Charger,Royal Charger,Teddy,Nearctic,Nearctic,Swynford,Native Dancer,Native Dancer,Native Dancer,St.Simon,Royal Charger,Royal Charger,Hampton,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,テディ系,ノーザンダンサー系,ノーザンダンサー系,ブレニム系,レイズアネイティヴ系,レイズアネイティヴ系,レイズアネイティヴ系,ワイルドリスク系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,サンインロー系
ダブリンライオン,レイズアネイティヴ系,5,1600m〜1600m,普通,〇,C,B,C,B,C,,,Lion Cavern ,ミスタープロスペクター,Raise a Native,ネイティヴダンサー,ナシュア,セクレタリアト,ボールドルーラー,ティムタム,Night Shift,ノーザンダンサー,ニアークティック,Chop Chop,ハビタット,サーゲイロード,リュティエ,Native Dancer,Native Dancer,Native Dancer,Native Dancer,Nasrullah,Nasrullah,Nasrullah,Tom Fool,Nearctic,Nearctic,Nearctic,Teddy,Royal Charger,Royal Charger,Herod,レイズアネイティヴ系,レイズアネイティヴ系,レイズアネイティヴ系,ネイティヴダンサー系,ナスルーラ系,ボールドルーラー系,ボールドルーラー系,トムフール系,ノーザンダンサー系,ノーザンダンサー系,ニアークティック系,テディ系,ハビタット系,サーゲイロード系,クラリオン系
チチカステナンゴ,フォルティノ系,5,1600m〜2000m,晩成,△,B,B,B,B,C,,,smadoun,Kaldoun,カロ,フォルティノ,Le Haar,Tip Moss,リュティエ,arctic storm,アンテウス,ノーザンダンサー,ニアークティック,サーゲイロード,Fabulous Dancer,ノーザンダンサー,ヴェイグリーノーブル,Nasrullah,Nasrullah,Nasrullah,Nasrullah,Swynford,Herod,Herod,Phalaris,Nearctic,Nearctic,Nearctic,Royal Charger,Nearctic,Nearctic,Hampton,フォルティノ系,フォルティノ系,フォルティノ系,フォルティノ系,ブラントーム系,クラリオン系,クラリオン系,ネアルコ系,ノーザンダンサー系,ノーザンダンサー系,ニアークティック系,サーゲイロード系,ノーザンダンサー系,ノーザンダンサー系,オリオール系
チョコ,ヘイルトゥリーズン系,valentine_01,1200m〜1500m,普通,◎,C,B,C,C,C,,,タイムパラドックス,ブライアンズタイム,ロベルト,ヘイルトゥリーズン,グロースターク,アルザオ,リファール,ボールドラッド,サクラユタカオー,テスコボーイ,プリンスリーギフト,ネヴァービート,ノーザンテースト,ノーザンダンサー,Globemaster,Royal Charger,Royal Charger,Royal Charger,Royal Charger,St.Simon,Nearctic,Nearctic,Nasrullah,Nasrullah,Nasrullah,Nasrullah,Nasrullah,Nearctic,Nearctic,Hampton,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,リボー系,ノーザンダンサー系,ノーザンダンサー系,ボールドルーラー系,プリンスリーギフト系,プリンスリーギフト系,プリンスリーギフト系,ネヴァーセイダイ系,ノーザンダンサー系,ノーザンダンサー系,ハイペリオン系
チーフベアハート,ノーザンダンサー系,5,1600m〜3600m,普通,〇,B,C,B,B,B,,,チーフズクラウン,ダンチヒ,ノーザンダンサー,ニアークティック,Admiral's Voyage,セクレタリアト,ボールドルーラー,Swoon's Son,Bold Hour,ボールドルーラー,ナスルーラ,Mr.Music,Ribot,Tenerani,ナシュア,Nearctic,Nearctic,Nearctic,Nearctic,Teddy,Nasrullah,Nasrullah,Teddy,Nasrullah,Nasrullah,Nasrullah,Himyar,St.Simon,St.Simon,Nasrullah,ノーザンダンサー系,ノーザンダンサー系,ノーザンダンサー系,ニアークティック系,テディ系,ボールドルーラー系,ボールドルーラー系,テディ系,ボールドルーラー系,ボールドルーラー系,ナスルーラ系,ヒムヤー系,リボー系,セントサイモン系,ナスルーラ系
ティンバーカントリー,レイズアネイティヴ系,5,1600m〜2000m,早熟,◎,B,B,B,B,B,,,ウッドマン,ミスタープロスペクター,Raise a Native,ネイティヴダンサー,ナシュア,バックパサー,Tom Fool,Swaps,Pretense,Endeavour,British Empire,ハイペリオン,Swaps,Khaled,War Admiral,Native Dancer,Native Dancer,Native Dancer,Native Dancer,Nasrullah,Tom Fool,Tom Fool,Hampton,Phalaris,Phalaris,Phalaris,Hampton,Hampton,Hampton,Matchem,レイズアネイティヴ系,レイズアネイティヴ系,レイズアネイティヴ系,ネイティヴダンサー系,ナスルーラ系,トムフール系,トムフール系,カーレッド系,ファラリス系,ファラリス系,ファラリス系,ハイペリオン系,カーレッド系,カーレッド系,マンノウォー系
テイエムオペラオー,ノーザンダンサー系,5,1200m〜2000m,普通,◎,B,B,C,C,B,,,オペラハウス,サドラーズウェルズ,ノーザンダンサー,ニアークティック,Bold Reason,ハイトップ,デリングドゥ,Jimmy Reppin,ブラッシンググルーム,Red God,ナスルーラ,ワイルドリスク,Key to the Kingdom,ボールドルーラー,Drone,Nearctic,Nearctic,Nearctic,Nearctic,Royal Charger,Phalaris,Phalaris,Herod,Nasrullah,Nasrullah,Nasrullah,St.Simon,Nasrullah,Nasrullah,Royal Charger,ノーザンダンサー系,ノーザンダンサー系,ノーザンダンサー系,ニアークティック系,ヘイルトゥリーズン系,ダンテ系,ダンテ系,トウルビヨン系,レッドゴッド系,レッドゴッド系,ナスルーラ系,ワイルドリスク系,ボールドルーラー系,ボールドルーラー系,サーゲイロード系
テレグノシス,ゼダーン系,5,1600m〜2000m,普通,△,B,B,B,C,C,,,トニービン,カンパラ,カラムーン,ゼダーン,オンリーフォアライフ,ホーンビーム,ハイペリオン,Preciptic,ノーザンテースト,ノーザンダンサー,ニアークティック,Victoria Park,セクレタリアト,ボールドルーラー,Dunce,Nasrullah,Nasrullah,Nasrullah,Nasrullah,Eclipse,Hampton,Hampton,Matchem,Nearctic,Nearctic,Nearctic,Teddy,Nasrullah,Nasrullah,Tom Fool,ゼダーン系,ゼダーン系,ゼダーン系,ゼダーン系,エクリプス系,ハイペリオン系,ハイペリオン系,マッチェム系,ノーザンダンサー系,ノーザンダンサー系,ニアークティック系,テディ系,ボールドルーラー系,ボールドルーラー系,トムフール系
ディクタット,インテント系,5,1200m〜1400m,普通,△,B,B,C,B,C,,,ウォーニング,ノウンファクト,インリアリティ,Intentionally,ティムタム,ロベルト,ヘイルトゥリーズン,Raise a Native,サドラーズウェルズ,ノーザンダンサー,ニアークティック,Bold Reason,アホヌーラ,ロレンザッチオ,Balidar,Matchem,Matchem,Matchem,Matchem,Tom Fool,Royal Charger,Royal Charger,Native Dancer,Nearctic,Nearctic,Nearctic,Royal Charger,Herod,Herod,Hampton,インテント系,インテント系,インテント系,インテント系,トムフール系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,レイズアネイティヴ系,ノーザンダンサー系,ノーザンダンサー系,ニアークティック系,ヘイルトゥリーズン系,クラリオン系,クラリオン系,オーエンテューダー系
ディープスカイ,ヘイルトゥリーズン系,5,1600m〜2200m,普通,〇,B,A,C,B,B,,,アグネスタキオン,サンデーサイレンス,ヘイロー,ヘイルトゥリーズン,アンダースタンディング,ロイヤルスキー,ラジャババ,リマンド,チーフズクラウン,ダンチヒ,ノーザンダンサー,セクレタリアト,キートゥザミント,グロースターク,Cornish Prince,Royal Charger,Royal Charger,Royal Charger,Royal Charger,Teddy,Nasrullah,Nasrullah,Swynford,Nearctic,Nearctic,Nearctic,Nasrullah,St.Simon,St.Simon,Nasrullah,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,テディ系,ボールドルーラー系,ボールドルーラー系,ブレニム系,ノーザンダンサー系,ノーザンダンサー系,ノーザンダンサー系,ボールドルーラー系,リボー系,リボー系,ボールドルーラー系
デスペラード,ヘイルトゥリーズン系,5,2200m〜3600m,晩成,◎,A,C,C,B,B,,,ネオユニヴァース,サンデーサイレンス,ヘイロー,ヘイルトゥリーズン,アンダースタンディング,Kris,シャーペンアップ,Shantung,トニービン,カンパラ,カラムーン,ホーンビーム,ブライアンズタイム,ロベルト,ノーザンダンサー,Royal Charger,Royal Charger,Royal Charger,Royal Charger,Teddy,Native Dancer,Native Dancer,St.Simon,Nasrullah,Nasrullah,Nasrullah,Hampton,Royal Charger,Royal Charger,Nearctic,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,テディ系,エタン系,エタン系,プリンスビオ系,ゼダーン系,ゼダーン系,ゼダーン系,ハイペリオン系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ノーザンダンサー系
トウカイトリック,レイズアネイティヴ系,5,3000m〜3600m,晩成,△,B,C,C,C,B,,,エルコンドルパサー,キングマンボ,ミスタープロスペクター,Raise a Native,ヌレイエフ,サドラーズウェルズ,ノーザンダンサー,シアトルスルー,シルヴァーホーク,ロベルト,ヘイルトゥリーズン,アメリゴ,イクスプロウデント,ニアークティック,Bolero,Native Dancer,Native Dancer,Native Dancer,Native Dancer,Nearctic,Nearctic,Nearctic,Nasrullah,Royal Charger,Royal Charger,Royal Charger,Phalaris,Nearctic,Nearctic,Eclipse,レイズアネイティヴ系,レイズアネイティヴ系,レイズアネイティヴ系,レイズアネイティヴ系,ノーザンダンサー系,ノーザンダンサー系,ノーザンダンサー系,ボールドルーラー系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ネアルコ系,ニアークティック系,ニアークティック系,エクリプス系
トウケイヘイロー,ヘイルトゥリーズン系,5,1600m〜2000m,普通,〇,B,B,B,B,B,,,ゴールドヘイロー,サンデーサイレンス,ヘイロー,ヘイルトゥリーズン,アンダースタンディング,シーキングザゴールド,ミスタープロスペクター,ノーザンダンサー,ミルジョージ,ミルリーフ,ネヴァーベンド,Ragusa,ノーザンテースト,ノーザンダンサー,Determine,Royal Charger,Royal Charger,Royal Charger,Royal Charger,Teddy,Native Dancer,Native Dancer,Nearctic,Nasrullah,Nasrullah,Nasrullah,St.Simon,Nearctic,Nearctic,Hampton,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,テディ系,レイズアネイティヴ系,レイズアネイティヴ系,ノーザンダンサー系,ネヴァーベンド系,ネヴァーベンド系,ネヴァーベンド系,リボー系,ノーザンダンサー系,ノーザンダンサー系,ハイペリオン系
トーセンジョーダン,ゼダーン系,5,2000m〜3200m,普通,〇,B,B,B,B,C,,,ジャングルポケット,トニービン,カンパラ,カラムーン,ホーンビーム,ヌレイエフ,ノーザンダンサー,Nodouble,ノーザンテースト,ノーザンダンサー,ニアークティック,Victoria Park,Crafty Prospector,ミスタープロスペクター,セクレタリアト,Nasrullah,Nasrullah,Nasrullah,Nasrullah,Hampton,Nearctic,Nearctic,Hampton,Nearctic,Nearctic,Nearctic,Teddy,Native Dancer,Native Dancer,Nasrullah,ゼダーン系,ゼダーン系,ゼダーン系,ゼダーン系,ハイペリオン系,ノーザンダンサー系,ノーザンダンサー系,ハイペリオン系,ノーザンダンサー系,ノーザンダンサー系,ニアークティック系,テディ系,レイズアネイティヴ系,レイズアネイティヴ系,ボールドルーラー系
トーセンラー,ヘイルトゥリーズン系,5,1600m〜3200m,晩成,〇,B,B,C,B,B,,,ディープインパクト,サンデーサイレンス,ヘイロー,ヘイルトゥリーズン,アンダースタンディング,アルザオ,リファール,バステッド,Lycius,ミスタープロスペクター,Raise a Native,リファール,サドラーズウェルズ,ノーザンダンサー,ヴェイグリーノーブル,Royal Charger,Royal Charger,Royal Charger,Royal Charger,Teddy,Nearctic,Nearctic,Swynford,Native Dancer,Native Dancer,Native Dancer,Nearctic,Nearctic,Nearctic,Hampton,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,テディ系,ノーザンダンサー系,ノーザンダンサー系,ブレニム系,レイズアネイティヴ系,レイズアネイティヴ系,レイズアネイティヴ系,ノーザンダンサー系,ノーザンダンサー系,ノーザンダンサー系,オリオール系
トーセンラー,ヘイルトゥリーズン系,collabo_1047,1600m〜3200m,晩成,〇,B,B,C,B,B,,,ディープインパクト,サンデーサイレンス,ヘイロー,ヘイルトゥリーズン,アンダースタンディング,アルザオ,リファール,バステッド,Lycius,ミスタープロスペクター,Raise a Native,リファール,サドラーズウェルズ,ノーザンダンサー,ヴェイグリーノーブル,Royal Charger,Royal Charger,Royal Charger,Royal Charger,Teddy,Nearctic,Nearctic,Swynford,Native Dancer,Native Dancer,Native Dancer,Nearctic,Nearctic,Nearctic,Hampton,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,テディ系,ノーザンダンサー系,ノーザンダンサー系,ブレニム系,レイズアネイティヴ系,レイズアネイティヴ系,レイズアネイティヴ系,ノーザンダンサー系,ノーザンダンサー系,ノーザンダンサー系,オリオール系
トーヨーリファール,インテント系,5,1400m〜1800m,普通,〇,C,B,B,B,C,,,リローンチ,インリアリティ,Intentionally,Intent,Rough'n Tumble,The Axe,マームード,Royal Note,リファール,ノーザンダンサー,ニアークティック,コートマーシャル,ミスタープロスペクター,Raise a Native,ネイティヴダンサー,Matchem,Matchem,Matchem,Matchem,Himyar,Swynford,Swynford,Himyar,Nearctic,Nearctic,Nearctic,Fairway,Native Dancer,Native Dancer,Native Dancer,インテント系,インテント系,インテント系,インテント系,ヒムヤー系,ブレニム系,ブレニム系,ヒムヤー系,ノーザンダンサー系,ノーザンダンサー系,ニアークティック系,フェアトライアル系,レイズアネイティヴ系,レイズアネイティヴ系,ネイティヴダンサー系
ドーナツラブチョコ,ヘイルトゥリーズン系,valentine_01,1500m〜2100m,晩成,△,B,B,B,B,B,,,タイムパラドックス,ブライアンズタイム,ロベルト,ヘイルトゥリーズン,グロースターク,アルザオ,リファール,ボールドラッド,サクラユタカオー,テスコボーイ,プリンスリーギフト,ネヴァービート,ノーザンテースト,ノーザンダンサー,Globemaster,Royal Charger,Royal Charger,Royal Charger,Royal Charger,St.Simon,Nearctic,Nearctic,Nasrullah,Nasrullah,Nasrullah,Nasrullah,Nasrullah,Nearctic,Nearctic,Hampton,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,リボー系,ノーザンダンサー系,ノーザンダンサー系,ボールドルーラー系,プリンスリーギフト系,プリンスリーギフト系,プリンスリーギフト系,ネヴァーセイダイ系,ノーザンダンサー系,ノーザンダンサー系,ハイペリオン系
ナカヤマフェスタ,ヘイルトゥリーズン系,5,1800m〜2400m,普通,〇,B,B,B,C,B,,,ステイゴールド,サンデーサイレンス,ヘイロー,ヘイルトゥリーズン,アンダースタンディング,ディクタス,Sanctus,ノーザンテースト,タイトスポット,ヒズマジェスティ,Ribot,リファール,デインヒル,ダンチヒ,Cure the Blues,Royal Charger,Royal Charger,Royal Charger,Royal Charger,Teddy,Hampton,Hampton,Nearctic,St.Simon,St.Simon,St.Simon,Nearctic,Nearctic,Nearctic,Royal Charger,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,テディ系,ファイントップ系,ファイントップ系,ノーザンダンサー系,リボー系,リボー系,リボー系,ノーザンダンサー系,ノーザンダンサー系,ノーザンダンサー系,ヘイルトゥリーズン系
ナリタキングオー,ニアークティック系,5,1800m〜2200m,早熟,△,C,B,C,C,C,,,ワイルドアゲイン,アイスカペイド,ニアークティック,ネアルコ,ネイティヴダンサー,Khaled,ハイペリオン,ダンテ,ヘイロー,ヘイルトゥリーズン,Turn-to,Cosmic Bomb,ダマスカス,ソードダンサー,ニジンスキー,Nearctic,Nearctic,Nearctic,Phalaris,Native Dancer,Hampton,Hampton,Phalaris,Royal Charger,Royal Charger,Royal Charger,Phalaris,Teddy,Teddy,Nearctic,ニアークティック系,ニアークティック系,ニアークティック系,ネアルコ系,ネイティヴダンサー系,カーレッド系,ハイペリオン系,ダンテ系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ロイヤルチャージャー系,ファラリス系,テディ系,テディ系,ノーザンダンサー系
ナントゴシャセイ,レイズアネイティヴ系,collabo_1007,1600m〜2000m,普通,◎,C,C,B,C,C,,,オリオンザサンクス,シャンハイ,Procida,ミスタープロスペクター,リヴァーマン,リヴリア,リヴァーマン,モハビ,ダンチヒ,ノーザンダンサー,ニアークティック,Admiral's Voyage,クレームデラクレーム,Olympia,The Doge,Native Dancer,Native Dancer,Native Dancer,Native Dancer,Nasrullah,Nasrullah,Nasrullah,Hampton,Nearctic,Nearctic,Nearctic,Teddy,Hampton,Hampton,Teddy,レイズアネイティヴ系,レイズアネイティヴ系,レイズアネイティヴ系,レイズアネイティヴ系,ネヴァーベンド系,ネヴァーベンド系,ネヴァーベンド系,カーレッド系,ノーザンダンサー系,ノーザンダンサー系,ニアークティック系,テディ系,ハイペリオン系,ハイペリオン系,テディ系
ノボトゥルー,ヒムヤー系,5,1200m〜1600m,普通,◎,A,B,B,C,B,,,ブロードブラッシュ,アクアク,Battle Joined,Armageddon,Turn-to,ホイストザフラッグ,トムロルフ,Turn-to,Naskra,Nasram,ナスルーラ,Le Haar,Le Fabuleux,ワイルドリスク,Ky.Colonel,Himyar,Himyar,Himyar,Himyar,Royal Charger,St.Simon,St.Simon,Royal Charger,Nasrullah,Nasrullah,Nasrullah,Swynford,St.Simon,St.Simon,Himyar,ヒムヤー系,ヒムヤー系,ヒムヤー系,ヒムヤー系,ロイヤルチャージャー系,リボー系,リボー系,ロイヤルチャージャー系,ナスルーラ系,ナスルーラ系,ナスルーラ系,ブラントーム系,ワイルドリスク系,ワイルドリスク系,ヒムヤー系
ハイアーゲーム,ヘイルトゥリーズン系,5,1800m〜2400m,普通,〇,C,B,B,B,C,,,サンデーサイレンス,ヘイロー,ヘイルトゥリーズン,Turn-to,Cosmic Bomb,アンダースタンディング,Promised Land,Montparnasse,Law Society,アレッジド,ホイストザフラッグ,Boldnesian,ゲイメセン,ヴェイグリーノーブル,ノーザンダンサー,Royal Charger,Royal Charger,Royal Charger,Royal Charger,Phalaris,Teddy,Teddy,Hampton,St.Simon,St.Simon,St.Simon,Nasrullah,Hampton,Hampton,Nearctic,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ロイヤルチャージャー系,ファラリス系,テディ系,テディ系,ハイペリオン系,リボー系,リボー系,リボー系,ボールドルーラー系,オリオール系,オリオール系,ノーザンダンサー系
ハーランズホリデー,ノーザンダンサー系,5,1200m〜2000m,普通,◎,B,B,B,C,B,,,ハーラン,ストームキャット,ストームバード,ノーザンダンサー,セクレタリアト,ヘイロー,ヘイルトゥリーズン,ガンボウ,Affirmed,Exclusive Native,Raise a Native,Crafty Admiral,Honest Pleasure,What a Pleasure,プリンスキロ,Nearctic,Nearctic,Nearctic,Nearctic,Nasrullah,Royal Charger,Royal Charger,Hampton,Native Dancer,Native Dancer,Native Dancer,Teddy,Nasrullah,Nasrullah,St.Simon,ノーザンダンサー系,ノーザンダンサー系,ノーザンダンサー系,ノーザンダンサー系,ボールドルーラー系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ハイペリオン系,レイズアネイティヴ系,レイズアネイティヴ系,レイズアネイティヴ系,テディ系,ボールドルーラー系,ボールドルーラー系,プリンスキロ系
